PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=418 ttl=63 time=7624 ms
64 bytes from 10.0.2.22: icmp_seq=419 ttl=63 time=7522 ms
64 bytes from 10.0.2.22: icmp_seq=420 ttl=63 time=7422 ms
64 bytes from 10.0.2.22: icmp_seq=421 ttl=63 time=7319 ms
64 bytes from 10.0.2.22: icmp_seq=422 ttl=63 time=7217 ms
64 bytes from 10.0.2.22: icmp_seq=423 ttl=63 time=7115 ms
64 bytes from 10.0.2.22: icmp_seq=424 ttl=63 time=7013 ms
64 bytes from 10.0.2.22: icmp_seq=425 ttl=63 time=6913 ms
64 bytes from 10.0.2.22: icmp_seq=426 ttl=63 time=6813 ms
64 bytes from 10.0.2.22: icmp_seq=427 ttl=63 time=6713 ms
64 bytes from 10.0.2.22: icmp_seq=428 ttl=63 time=6611 ms
64 bytes from 10.0.2.22: icmp_seq=429 ttl=63 time=6509 ms
64 bytes from 10.0.2.22: icmp_seq=430 ttl=63 time=6408 ms
64 bytes from 10.0.2.22: icmp_seq=431 ttl=63 time=6307 ms
64 bytes from 10.0.2.22: icmp_seq=432 ttl=63 time=6205 ms
64 bytes from 10.0.2.22: icmp_seq=433 ttl=63 time=6103 ms
64 bytes from 10.0.2.22: icmp_seq=434 ttl=63 time=6001 ms
64 bytes from 10.0.2.22: icmp_seq=435 ttl=63 time=5899 ms
64 bytes from 10.0.2.22: icmp_seq=436 ttl=63 time=5796 ms
64 bytes from 10.0.2.22: icmp_seq=437 ttl=63 time=5693 ms
64 bytes from 10.0.2.22: icmp_seq=438 ttl=63 time=5592 ms
64 bytes from 10.0.2.22: icmp_seq=439 ttl=63 time=5492 ms
64 bytes from 10.0.2.22: icmp_seq=440 ttl=63 time=5390 ms
64 bytes from 10.0.2.22: icmp_seq=441 ttl=63 time=5288 ms
64 bytes from 10.0.2.22: icmp_seq=442 ttl=63 time=5185 ms
64 bytes from 10.0.2.22: icmp_seq=443 ttl=63 time=5082 ms
64 bytes from 10.0.2.22: icmp_seq=444 ttl=63 time=4980 ms
64 bytes from 10.0.2.22: icmp_seq=445 ttl=63 time=4877 ms
64 bytes from 10.0.2.22: icmp_seq=446 ttl=63 time=4777 ms
64 bytes from 10.0.2.22: icmp_seq=447 ttl=63 time=4675 ms
64 bytes from 10.0.2.22: icmp_seq=448 ttl=63 time=4575 ms
64 bytes from 10.0.2.22: icmp_seq=449 ttl=63 time=4473 ms
64 bytes from 10.0.2.22: icmp_seq=450 ttl=63 time=4370 ms
64 bytes from 10.0.2.22: icmp_seq=451 ttl=63 time=4268 ms
64 bytes from 10.0.2.22: icmp_seq=452 ttl=63 time=4165 ms
